ASV,size,cutoff,phylum_name,class_name,order_name,family_name,genus_name,species_name,phylum_score,class_score,order_score,family_score,genus_score,species_score
uniq5,710972,+,Streptophyta,NA,Porellales,Lejeuneaceae,Monoclea,Leptolejeunea schiffneri,0.97,0.39,0.19,0.19,0.05,0.04
uniq2,932500,+,Streptophyta,NA,Malvales,Malvaceae,Ceiba,Ceiba schottii,1,1,1,1,1,0.5
uniq21,234903,+,Streptophyta,NA,Malvales,Malvaceae,Guazuma,Guazuma ulmifolia,1,1,1,1,1,1
uniq10,457300,+,Streptophyta,NA,Porellales,Lejeuneaceae,Frullania,Chamaecrista kleinii,0.92,0.37,0.21,0.16,0.05,0.03
uniq1,2064996,+,Streptophyta,Jungermanniopsida,Porellales,Lejeuneaceae,Riccia,Riccia huebeneriana,0.95,0.29,0.21,0.18,0.04,0.03
uniq6,660503,+,Streptophyta,NA,Porellales,Lejeuneaceae,Cheilolejeunea,Cheilolejeunea choachina,0.95,0.42,0.22,0.2,0.04,0.03
uniq17,266524,+,Streptophyta,NA,Fabales,Fabaceae,Coursetia,Coursetia caribaea,1,1,1,1,1,0.94
uniq3,812891,+,Streptophyta,NA,Asterales,Asteraceae,Zinnia,NA,1,1,0.97,0.97,0.89,0.45
uniq13,357532,+,Streptophyta,NA,Zingiberales,Zingiberaceae,Papillaria,unknown Riedelia ,0.96,0.33,0.16,0.13,0.05,0.04
uniq8,606446,+,Streptophyta,NA,Porellales,Salviniaceae,Azolla,Azolla caroliniana,0.95,0.36,0.11,0.1,0.1,0.08
uniq4,735176,+,Streptophyta,NA,Porellales,Lejeuneaceae,Riccia,NA,0.97,0.39,0.15,0.14,0.06,0.05
uniq31,167748,+,Streptophyta,NA,Asterales,Asteraceae,Nitella,Nitella gracillima,0.94,0.52,0.1,0.1,0.08,0.04
uniq18,257818,+,Streptophyta,NA,Fabales,Fabaceae,Apoplanesia,Apoplanesia paniculata,1,1,1,1,1,1
uniq23,228656,+,Streptophyta,NA,Charales,Characeae,Nitella,Nitella axillaris,0.98,0.35,0.15,0.15,0.15,0.12
uniq49,110543,+,Streptophyta,NA,Fabales,Fabaceae,Cenostigma,Cenostigma eriostachys,1,1,1,1,1,1
uniq7,646267,+,Streptophyta,NA,Fabales,Fabaceae,Pityrocarpa,Pityrocarpa obliqua,1,1,1,1,1,1
uniq25,223201,+,Streptophyta,NA,Malvales,Malvaceae,Guazuma,Guazuma ulmifolia,1,1,1,1,1,1
uniq34,154393,+,Streptophyta,NA,Fabales,Fabaceae,Riccia,NA,0.95,0.4,0.13,0.13,0.05,0.04
uniq38,138440,+,Streptophyta,NA,Caryophyllales,Amaranthaceae,Iresine,Iresine diffusa,1,0.86,0.2,0.17,0.15,0.15
uniq11,413033,+,Streptophyta,NA,Marchantiales,Lejeuneaceae,Riccia,Riccia huebeneriana,0.99,0.33,0.13,0.1,0.09,0.04
uniq37,150924,+,Streptophyta,NA,Salviniales,Salviniaceae,Azolla,Azolla caroliniana,0.94,0.32,0.11,0.11,0.11,0.1
uniq32,165328,+,Streptophyta,NA,Marchantiales,Ricciaceae,Riccia,Riccia huebeneriana,0.96,0.3,0.12,0.11,0.11,0.05
uniq64,86393,+,Streptophyta,NA,Fabales,Fabaceae,Leucaena,NA,1,1,1,1,0.99,0.89
uniq65,86285,+,Streptophyta,NA,Porellales,Lejeuneaceae,Piper,Piper graeffei,0.9,0.41,0.14,0.12,0.09,0.04
uniq26,209980,+,Streptophyta,NA,Charales,Characeae,Nitella,Nitella gracillima,0.99,0.46,0.12,0.12,0.12,0.04
uniq19,247619,+,Streptophyta,NA,Solanales,Convolvulaceae,NA,NA,1,0.88,0.88,0.88,0.74,0.74
uniq28,182468,+,Streptophyta,NA,Fabales,Fabaceae,Cenostigma,Cenostigma eriostachys,1,1,1,1,1,0.97
uniq16,292009,+,Streptophyta,NA,Lamiales,Bignoniaceae,Bignonia,Bignonia binata,1,1,1,0.99,0.99,0.99
uniq12,364538,+,Streptophyta,NA,Asterales,Asteraceae,Zinnia,NA,1,1,0.98,0.98,0.88,0.54
uniq20,247076,+,Streptophyta,NA,Fabales,Fabaceae,Senegalia,Senegalia catechu,1,1,0.98,0.98,0.58,0.58
uniq61,89884,+,Streptophyta,NA,Marchantiales,Lejeuneaceae,Prototheca,Prototheca blaschkeae,0.94,0.39,0.09,0.07,0.05,0.05
uniq39,128272,+,Streptophyta,NA,Asparagales,Fabaceae,Nitella,Nitella gracillima,0.94,0.46,0.1,0.08,0.06,0.04
